,budget,id,popularity,revenue,runtime,title,vote_average,vote_count
691,51059418.94,11199,31.719463,253625427,100,Wild Hogs,5.6,648
692,150000000,9982,47.973995,314432665,81,Chicken Little,5.6,944
693,61000000,210577,143.041543,369330363,145,Gone Girl,7.9,5862
694,60000000,2501,86.476817,214034224,119,The Bourne Identity,7.3,3583
695,58000000,710,59.824565,352194034,130,GoldenEye,6.6,1174
700,61000000,136400,42.881415,131940411,109,2 Guns,6.6,1589
701,60000000,10992,18.735024,93375151,87,Cats & Dogs,5,352
702,60000000,9654,62.766854,176070171,110,The Italian Job,6.6,1919
705,70000000,19899,26.676487,171844840,113,Couples Retreat,5.3,588
708,61000000,294254,113.161483,311256926,132,Maze Runner: The Scorch Trials,6.4,3040
709,60000000,38167,28.800112,204594016,133,Eat Pray Love,5.8,636
715,60000000,9334,37.537093,165333180,92,The Scorpion King,5.3,779
717,60000000,75780,56.868399,218340595,130,Jack Reacher,6.3,2998
719,60000000,13576,15.798622,33400000,111,This Is It,6.7,247
720,60000000,39538,38.820858,137551594,106,Contagion,6.2,1325
722,60000000,14836,51.146047,124596398,100,Coraline,7.3,1386
723,60000000,8645,20.501582,163403799,91,The Happening,4.9,950
725,50000000,10067,4.280619,61112916,98,The Shaggy Dog,4.5,137
728,66000000,1487,47.479755,99318987,122,Hellboy,6.5,2225
730,60000000,77174,39.539045,107139399,90,ParaNorman,6.7,789
734,60000000,10199,16.493576,50877145,93,The Tale of Despereaux,5.8,258
739,60000000,267860,61.849521,205754447,99,London Has Fallen,5.8,1621
741,61000000,7485,37.378081,95696996,124,Shooter,6.9,1462
744,60000000,137106,59.547928,469160692,100,The Lego Movie,7.5,3070
747,60000000,82682,29.041198,105200903,113,Gangster Squad,6.2,1778
749,60000000,22954,23.85119,122233971,134,Invictus,7,1125
750,60000000,16995,21.685719,87784194,127,State of Play,6.7,484
751,78146652,16558,13.630049,60000000,125,Duplicity,5.7,201
754,70000000,16866,23.661071,104945765,91,Planet 51,5.6,556
757,51059418.94,87825,18.587114,33400000,111,Trouble with the Curve,6.6,366
761,60000000,13389,18.380176,73174566,101,Righteous Kill,5.9,375
763,60000000,17332,17.299333,31720158,109,The Soloist,6.6,234
767,60000000,11679,36.689223,71073932,101,xXx: State of the Union,4.7,549
768,60000000,38321,28.350927,78309131,87,Priest,5.4,692
776,60000000,137321,22.736038,30800231,118,Winter's Tale,6,487
777,60000000,123553,45.514031,90565421,130,The Mortal Instruments: City of Bones,6.2,1602
778,60000000,11260,18.676291,50650079,90,Meet Dave,5,371
781,60000000,2309,27.018886,57490374,106,Inkheart,6,592
782,60000000,8285,14.84856,39031337,103,The Spirit,4.7,320
783,60000000,210860,52.417529,30418560,106,Mortdecai,5.4,1055
784,60000000,2312,15.406173,33400000,127,In the Name of the King: A Dungeon Siege Tale,4.1,224
788,58000000,293660,514.569956,783112979,108,Deadpool,7.4,10995
790,58800000,190859,87.53437,542307423,133,American Sniper,7.4,4469
791,58000000,257445,45.351617,158162788,103,Goosebumps,6.2,995
793,83000000,889,6.248309,59468275,90,The Flintstones in Viva Rock Vegas,4.4,134
795,58000000,4942,7.739276,41299492,114,Leatherheads,5.7,130
798,58000000,116741,1.551497,44000000,119,The Internship,6.1,1658
799,60000000,35791,2.143764,300228084,97,Resident Evil: Afterlife,5.8,1363
800,58000000,72431,12.29603,50365377,125,Red Tails,5.9,178
802,70000000,87428,21.723897,58058367,116,That's My Boy,5.5,453
804,60000000,10589,14.113066,61347797,97,After the Sunset,6,226
805,57000000,71676,48.622278,149217355,95,Ghost Rider: Spirit of Vengeance,4.7,1135
807,56000000,10022,35.4763,113006880,95,The Pacifier,5.8,842
810,60000000,6477,47.336034,361366633,92,Alvin and the Chipmunks,5.5,1177
818,55000000,109424,52.786917,95000000,134,Captain Phillips,7.6,2454
819,55000000,35056,38.06168,152263880,97,Date Night,5.9,1122
828,30000000,24,79.754966,180949000,111,Kill Bill: Vol. 1,7.7,4949
836,55000000,1729,17.097041,127906624,104,The Forbidden Kingdom,6.3,461
839,55000000,8818,7.027139,141047179,134,Evita,5.9,120
842,55000000,116149,39.882276,259207227,95,Paddington,7,883
847,51059418.94,13260,10.449975,33472850,91,Semi-Pro,5.4,251
849,55000000,3580,27.50916,113020255,141,Changeling,7.3,1131
857,55000000,19724,12.340384,33400000,107,Imagine That,5.7,134
860,55000000,42297,22.863516,89519773,119,Burlesque,6.9,573
864,54000000,36586,67.169587,155010032,117,Blade II,6.2,1528
865,55000000,11321,41.472404,168167691,123,Seven Pounds,7.5,2039
867,54000000,242,59.194915,136766062,162,The Godfather: Part III,7.1,1546
869,54000000,1819,18.600367,130431368,108,"You, Me and Dupree",5.4,407
871,54000000,8046,9.053456,7266209,121,Gigli,3.5,104
872,55000000,1717,7.768223,9450897,125,All the King's Men,5.7,95
882,51059418.94,1950,6.162872,5761917,124,Lucky You,5.4,81
883,52000000,640,73.944049,352114312,141,Catch Me If You Can,7.7,3795
884,40000000,97630,38.306954,132820716,157,Zero Dark Thirty,6.7,1702
885,52000000,9767,26.251217,204999686,106,The Break-Up,5.6,832
887,52000000,32856,25.41929,216485654,125,Valentine's Day,5.7,1013
888,50000000,6519,15.98212,110803676,104,The Dukes of Hazzard,5.1,316
890,52000000,49520,32.015477,75450437,112,The Change-Up,5.9,736
891,82000000,1850,24.444186,47434430,118,Man on the Moon,6.9,435
893,52000000,26389,27.916284,52826594,92,From Paris with Love,6.1,675
898,50000000,18239,94.815867,709827462,130,The Twilight Saga: New Moon,5.6,2436
899,60000000,808,67.298732,484409218,90,Shrek,7.3,4056
900,50200000,38050,26.60772,127869379,106,The Adjustment Bureau,6.5,1652
903,50000000,72105,68.87691,549368315,106,Ted,6.3,4697
908,50000000,37686,37.069253,260095987,112,Super 8,6.6,2435
909,52000000,462,30.347332,256271286,131,Erin Brockovich,7.1,716
911,50000000,187017,52.380982,188441614,112,22 Jump Street,7,3319
914,50000000,302699,45.318703,216972543,107,Central Intelligence,6.2,1650
916,50000000,274167,38.616744,242786137,96,Daddy's Home,5.8,854
917,50000000,224141,65.90161,212902372,125,Into the Woods,5.6,1652
918,45000000,388,45.220386,184376254,129,Inside Man,7.3,1630
921,50000000,74465,38.629763,120081841,124,We Bought a Zoo,6.5,909
922,50000000,13811,32.693093,155446362,121,Knowing,5.9,1486
925,50000000,50646,37.990705,142851197,118,"Crazy, Stupid, Love.",7,2443
928,50000000,60308,46.180421,110206216,133,Moneyball,7,1381
932,54000000,752,84.630969,132511035,132,V for Vendetta,7.7,4442
937,50000000,60304,53.02787,224803475,88,Hansel & Gretel: Witch Hunters,5.7,3239
939,50000000,46529,43.450266,144492830,109,I Am Number Four,5.9,1567
940,50000000,231,16.871194,94000000,128,Syriana,6.3,451
941,50000000,300671,42.526529,69411370,144,13 Hours: The Secret Soldiers of Benghazi,7,938
947,50000000,588,32.927994,97607453,125,Silent Hill,6.3,1067
949,50000000,71552,39.920035,234989584,113,American Reunion,6.1,1611
954,50000000,205587,42.472324,83719388,141,The Judge,7.2,1417
960,50000000,14199,12.31101,69425966,92,The Adventures of Sharkboy and Lavagirl,4.4,269
963,40000000,22832,19.085403,60462347,99,Ninja Assassin,6.2,371
966,50000000,38579,12.25622,83761844,87,Marmaduke,5,149
967,50000000,44603,13.365715,105197635,129,Hereafter,5.8,510
970,50000000,1248,6.567065,82169884,121,Hannibal Rising,6,654
975,50000000,4959,13.391833,60161391,118,The International,6,368
976,50000000,10061,21.637234,42277365,97,Escape from L.A.,5.6,373
977,70000000,10386,61.245957,23159305,86,The Iron Giant,7.6,1436
979,50000000,316152,21.589393,25035950,139,Free State of Jones,6.6,428
983,51500000,2252,35.481169,55112356,100,Eastern Promises,7.2,848
986,49900000,38319,21.408222,26121638,102,Your Highness,5.2,501
991,22000000,38363,12.54949,24188922,108,Fair Game,6.5,235
994,50000000,18501,27.631262,40828540,95,Gamer,5.6,760
997,50000000,329833,37.253774,55969000,100,Zoolander 2,4.7,797
1000,50000000,47327,30.387148,28931401,105,Drive Angry,5.3,600
1004,50000000,18947,31.02233,36348784,116,The Boat That Rocked,7.2,666
1006,48000000,89,80.972475,474171806,127,Indiana Jones and the Last Crusade,7.6,3152
1008,49000000,198184,116.700319,104399548,120,Chappie,6.6,3062
1015,48000000,167,30.920075,50315140,120,K-PAX,7.1,695
1019,55000000,5176,48.801089,70016220,122,3:10 to Yuma,6.9,1188
1020,48000000,260346,88.844777,325771424,109,Taken 3,6.1,2200
1029,47000000,5393,10.410933,38085778,75,Happily N'Ever After,4.6,104
1034,46000000,199,25.6713,150000000,111,Star Trek: First Contact,7,661
1035,47000000,20533,22.581313,10539000,80,Jonah Hex,4.4,420
1038,25000000,325789,24.672234,15436808,127,The Infiltrator,6.6,573
1048,45000000,7350,31.305336,175372502,97,The Bucket List,7,1111
1051,46000000,146233,88.496873,122126687,153,Prisoners,7.9,3085
1055,45000000,64328,17.047276,165184237,103,The Muppets,6.5,501
1056,45000000,36647,43.815492,131183530,120,Blade,6.5,1905
1061,40000000,508,37.073127,244931766,135,Love Actually,7,1869
1062,120000000,9487,87.350802,363258859,95,A Bug's Life,6.8,2303
1070,45000000,7737,12.06538,148412065,94,Resident Evil: Extinction,6.1,1292
1075,45000000,82525,31.856589,82966152,131,Savages,6.2,766
1076,25000000,9759,24.459948,56422687,94,Cellular,6.1,537
1078,50000000,9906,20.239061,55181129,88,The Ant Bully,5.5,366
1080,51059418.94,4688,11.872841,33400000,133,Across the Universe,7.1,410
1083,70000000,9381,27.568194,72108608,101,Babylon A.D.,5.4,676
1086,45000000,20856,13.707183,57881056,86,Aliens in the Attic,5.3,244
1090,57000000,21355,7.524671,33400000,117,All the Pretty Horses,5.8,60
1095,110,1494,9.950505,33400000,114,Curse of the Golden Flower,6.6,203
1096,45000000,13184,14.813057,42487390,99,Bangkok Dangerous,5,332
1098,45000000,6639,5.361699,4607608,139,Love in the Time of Cholera,6.4,81
1100,45000000,58233,35.6585,160078586,101,Johnny English Reborn,6,1007
1101,65000000,116977,5.258726,73706,87,Foodfight!,2.3,28
1102,44500000,68734,62.01056,232324128,120,Argo,7.1,3423
1104,40000000,27573,33.747825,136000000,110,The Bounty Hunter,5.5,858
1110,50000000,834,49.020045,111340801,106,Underworld: Evolution,6.4,1528
1111,40000000,228066,24.821138,34227298,109,Victor Frankenstein,5.6,685
1114,45000000,10027,25.999888,50871113,103,Unleashed,6.6,518
1115,43000000,11812,18.65632,68696770,84,The Sweetest Thing,5.3,280
1118,40000000,27582,44.094856,51070807,93,The Mechanic,6.3,1045
1119,42000000,64688,62.714026,201585328,109,21 Jump Street,6.7,4074
1120,42000000,509,28.969151,363889678,124,Notting Hill,7,1262
1122,42000000,5966,33.238296,171963386,90,Along Came Polly,5.8,773
1131,32000000,709,28.22119,156167015,133,Licence to Kill,5.9,541
1132,42000000,49730,45.151657,89162162,100,Red Riding Hood,5.6,922
1137,40000000,54054,19.438503,36893721,91,One for the Money,5.3,388
1139,42000000,46528,7.349497,11087569,100,The Warrior's Way,6.3,136
1141,41000000,65,32.798571,215000000,110,8 Mile,6.8,1626
1142,51059418.94,280391,5.794466,33400000,100,Why I Did (Not) Eat My Father,5.3,125
1146,42000000,49527,34.041407,46221189,102,Man on a Ledge,6.2,925
1149,40000000,168672,49.664128,251171807,138,American Hustle,6.8,2807
1150,40000000,18240,36.238968,317375031,108,The Proposal,6.7,1804
1152,40000000,165,43.345252,332000000,108,Back to the Future Part II,7.4,3829
1153,40000000,240832,115.241998,126546825,89,Lucy,6.3,5878
1154,40000000,216015,98.755657,571006128,125,Fifty Shades of Grey,5.2,3254
1158,40000000,193756,37.084384,149295601,121,Lone Survivor,7.4,1526
1160,40000000,259693,68.794673,320170008,134,The Conjuring 2,7,1949
1161,40000000,37799,69.27822,224920315,120,The Social Network,7.1,3391
1162,40000000,10184,26.253357,177259441,129,He's Just Not That Into You,6.2,959
1165,40000000,196,45.769562,244527583,118,Back to the Future Part III,7.1,2900
1168,40000000,24803,22.853006,129540499,123,Julie & Julia,6.6,560
1170,40000000,1213,31.385257,128798265,139,The Talented Mr. Ripley,7,767
1173,35000000,257211,53.114573,194564672,121,The Intern,7.1,1881
1174,40000000,323675,25.136082,124827316,102,Ride Along 2,6.1,555
1177,40000000,187,66.003433,158733820,124,Sin City,7.2,2691
1178,40000000,7461,24.862767,151161491,90,Vantage Point,6.2,716
1179,41000000,16538,25.391899,91636986,105,"I Love You, Man",6.5,515
1184,20000000,16996,52.571674,136267476,102,17 Again,6.1,1350
1186,40000000,19912,32.478077,186167139,82,The Final Destination,5.4,831
1189,40000000,32823,17.869443,90029656,109,Get Him to the Greek,5.9,612
1190,50000000,4380,14.231899,170128460,107,Shall We Dance?,5.9,297
1194,40000000,50348,26.072228,85412898,119,The Lincoln Lawyer,7,902
1195,30000000,48138,38.643914,130786397,113,Unknown,6.5,1265
1196,40000000,1124,74.440708,109676311,130,The Prestige,8,4391
1198,40000000,68179,18.14218,74597643,89,Escape from Planet Earth,5.7,332
1200,40000000,708,23.331459,191185897,130,The Living Daylights,6.2,440
1204,40000000,2044,29.88736,114830111,99,The Lake House,6.5,670
1206,51059418.94,71864,16.394452,51854875,105,The Odd Life of Timothy Green,6.5,386
1210,40000000,4970,27.303608,141591324,98,Gothika,5.8,629
1213,40000000,440,39.381913,41797066,94,Aliens vs Predator: Requiem,4.9,740
1217,40000000,39513,43.151268,97552050,104,Paul,6.5,1789
1219,40000000,41446,35.21926,97138686,111,Scream 4,6.1,902
1224,47000000,55779,38.555482,157887643,92,Final Destination 5,5.9,866
1228,40000000,8457,15.055732,33400000,102,Drillbit Taylor,5.5,275
1231,40000000,64685,31.066874,55247881,129,Extremely Loud & Incredibly Close,6.9,708
1232,40000000,38357,22.491388,58785180,102,Morning Glory,6.1,412
1235,40000000,1833,10.433667,31670620,135,Rent,6.7,155
1242,40000000,1683,13.445697,62771059,99,The Reaping,5.4,205
1245,40000000,62835,33.785969,60965854,108,Colombiana,6.5,824
1252,40000000,1887,22.364549,60474340,123,Marie Antoinette,6.5,642
1257,40000000,10315,41.258956,46471023,87,Fantastic Mr. Fox,7.5,1176
1259,40000000,2687,7.222985,14358033,99,Memoirs of an Invisible Man,5.7,125
1260,10000000,194,73.720244,173921954,122,Amélie,7.8,3310
1263,40000000,78698,8.303696,24719215,107,Big Miracle,6.6,152
1271,33000000,19898,28.353517,20645327,108,Pandorum,6.5,774
1276,40000000,72358,13.119133,22044277,91,A Thousand Words,6,373
1280,20000000,8271,31.690456,117760134,105,Disturbia,6.6,1006
1282,51059418.94,5353,8.048305,33400000,101,The Hunting Party,6.6,96
1286,39200000,110415,64.238688,86758912,126,Snowpiercer,6.7,2854
1292,51059418.94,1257,18.678415,69485490,102,Because I Said So,5.8,191
1293,39000000,62214,27.908783,35287788,87,Frankenweenie,6.6,932
1298,80341000,12289,14.8375,127814609,150,Red Cliff,7.1,205
1300,38000000,20943,22.332927,205298907,96,The Ugly Truth,6.4,972
1305,38000000,55787,16.801218,114156230,120,Water for Elephants,6.7,850
1308,38000000,1957,11.500783,51801187,114,Enough,6.2,264
1311,53000000,5852,6.454634,29700000,102,Angel Eyes,5.6,88
1316,10000000,25793,18.664624,47536959,110,Precious,6.9,417
1318,15000000,1091,52.731379,19629760,109,The Thing,7.8,1588
1319,38000000,87421,46.630062,98337295,119,Riddick,6.2,2035
1322,55000000,13600,23.465539,17869048,90,City of Ember,6.2,605
1326,38000000,299687,57.889964,109906372,112,The 5th Wave,5.6,1945
1327,37000000,312221,57.773583,173567581,133,Creed,7.3,1915
1328,37000000,23168,24.218358,154026136,125,The Town,7,1468
1329,40000000,76494,27.009723,79700000,110,What to Expect When You're Expecting,5.8,594
1333,37000000,334,30.993736,48451803,188,Magnolia,7.5,825
1334,30000000,23742,25.825771,55583804,107,Cop Out,5.3,511
1335,38000000,259694,46.078371,112343513,110,How to Be Single,5.9,1201
1336,37000000,62837,6.63839,95404397,113,Dolphin Tale,6.7,163
1337,37000000,8966,127.084938,392616625,122,Twilight,5.8,3561
1340,37000000,138832,100.348805,269994119,110,We're the Millers,6.8,2972
1343,36000000,36670,23.380757,160000000,134,Never Say Never Again,5.8,338
1344,36000000,23048,33.926473,64572262,101,Hot Tub Time Machine,6,894
1345,36000000,227735,6.967857,52424533,107,Dolphin Tale 2,6.7,96
1347,36000000,8409,19.854932,44350926,109,A Man Apart,5.8,258
1351,37000000,48171,11.492474,96047633,114,The Rite,5.8,556
1354,37000000,11802,6.293217,63800345,81,Space Chimps,5.2,99
1356,35000000,18785,82.21166,459270619,100,The Hangover,7.2,6173
1362,29000000,22881,25.767395,309208309,129,The Blind Side,7.2,1597
1364,35000000,51540,50.309843,117000000,98,Horrible Bosses,6.5,2277
1365,38000000,44264,49.292384,252276927,110,True Grit,7.2,1668
1366,35000000,350,83.893257,326551094,109,The Devil Wears Prada,7,3088
1368,35000000,109431,34.005726,173965010,111,Identity Thief,5.6,1645
1370,35000000,8065,45.149948,69823199,123,21,6.5,1375
1375,35000000,11459,11.041659,86369815,100,Sky High,5.8,550
1381,35000000,39486,9.525037,60251371,123,Secretariat,6.8,103
1384,35000000,50544,40.526587,150483765,109,Friends with Benefits,6.5,2237
1385,35000000,325133,50.179171,108758521,91,Neighbors 2: Sorority Rising,5.6,1462
1388,35000000,89492,38.429648,88058786,134,This Is 40,5.6,896
1389,35000000,22949,13.707843,92219310,88,Old Dogs,5.2,210
1391,35000000,2959,14.503568,69307224,91,License to Wed,5.2,253
1395,33000000,1576,40.715623,102984862,100,Resident Evil,6.4,2065
1398,35000000,13051,25.903237,85416905,100,Max Payne,5.2,613
1399,40000000,49530,60.231382,173930596,109,In Time,6.7,3417
1400,35000000,34806,18.38292,77477008,106,The Back-Up Plan,5.7,458
1401,35000000,49022,14.029012,59901913,112,Something Borrowed,5.9,296
1405,35000000,423,50.587541,120072577,150,The Pianist,8,1864
1409,35000000,88794,28.069419,84606030,137,J. Edgar,6,741
1413,35000000,8090,12.677505,32483410,101,Untraceable,5.9,238
1420,35000000,35019,23.835055,93246388,109,Nanny McPhee and the Big Bang,6,436
1423,31000000,14442,22.71592,27388767,96,Ella Enchanted,5.9,437
1424,35000000,321741,35.120736,50363790,123,Concussion,7,823
1425,35000000,59965,19.893646,82087155,106,Abduction,5.6,961
1429,56000000,98357,29.490057,19701164,109,Broken City,5.7,593
1431,35000000,49526,17.709888,31083599,91,Premium Rush,6.2,832
1436,35000000,35169,13.668633,39340177,92,Furry Vengeance,4.6,149
1441,35000000,6575,10.73522,18317151,96,Walk Hard: The Dewey Cox Story,6.6,212
1444,35000000,18320,16.343317,27409889,105,The Young Victoria,7,322
1445,40000000,22787,14.818718,12206028,101,Whiteout,5.3,220
1446,32000000,8967,43.862456,54674226,139,The Tree of Life,6.5,987
1450,20500000,13056,17.112498,10089373,102,Punisher: War Zone,5.6,294
1452,35000000,285783,37.335721,61181942,123,The Walk,6.9,1121
1465,34000000,198663,131.815575,348319861,113,The Maze Runner,7,5371
1468,35000000,1381,24.606012,15304890,96,The Fountain,6.8,827
1479,50000000,10877,12.601306,79958599,101,Exit Wounds,5.3,110
1481,34000000,202575,12.867326,33400000,85,Thunder and the House of Magic,6.3,121
1482,30000000,71469,23.328823,64626786,89,The Darkest Hour,4.8,469
1486,33000000,7220,35.099611,54700105,124,The Punisher,6.1,766
1488,30000000,72387,31.92695,40346186,94,Safe,6.3,799
1490,32350000,1892,46.509071,572700000,135,Return of the Jedi,7.9,4665
1493,35000000,50647,20.908494,24159934,98,Wanderlust,5.3,394
1498,32000000,9353,14.642055,80197993,92,Nacho Libre,5.6,359
1499,32500000,55721,17.107065,288383523,125,Bridesmaids,6.5,1661
1500,32000000,109414,38.21708,126041322,107,This Is the End,6.3,2359
1503,32000000,22907,18.47242,69055695,107,Takers,6,394
1505,32000000,38322,15.901137,83615414,107,"Big Mommas: Like Father, Like Son",5.3,313
1506,32000000,45612,59.19888,147332697,93,Source Code,7.1,2699
1508,30000000,3594,23.197408,77566815,101,The Number 23,6.3,1018
1517,32000000,31867,25.799697,18409891,111,Repo Men,6.2,620
1523,32000000,182,5.347936,5914908,108,The Good German,5.9,86
1525,31500000,28,49.973462,89460381,153,Apocalypse Now,8,2055
1526,32000000,38073,13.611544,42045846,102,Going the Distance,6,262
1531,34000000,698,29.887404,210308099,126,Moonraker,5.9,541
1544,31000000,27569,6.487344,15134293,105,Extraordinary Measures,6,89
1545,30000000,10637,25.996219,136706683,113,Remember the Titans,7.4,821
1546,30000000,1669,46.212155,199200000,134,The Hunt for Red October,7.2,957
1553,33000000,807,79.579532,327311859,127,Se7en,8.1,5765
1554,30000000,17654,63.13678,210819611,112,District 9,7.3,3382
1557,30000000,70,70.456012,216763646,132,Million Dollar Baby,7.7,2439
1559,29000000,11036,55.109138,115603229,123,The Notebook,7.7,3067
1560,30000000,6557,30.695228,160259319,111,27 Dresses,6.1,978
1561,35000000,18126,13.788422,155545279,102,Hannah Montana: The Movie,6,449
1565,25000000,22947,33.704181,163670000,109,Up in the Air,6.7,1205
1568,30000000,59967,46.377628,47042000,118,Looper,6.6,4697
1572,30000000,9870,50.670253,105173115,111,Forgetting Sarah Marshall,6.4,1172
1573,45000000,8292,24.694551,92374674,109,Four Brothers,6.7,607
1574,30000000,8780,11.409124,63833449,99,Baby Mama,5.8,205
1576,30000000,10521,33.385429,114663461,89,Bride Wars,5.9,856
1586,30000000,707,27.230493,152427960,131,A View to a Kill,6,506
1587,30000000,533,30.380747,192452832,85,The Curse of the Were-Rabbit,6.8,643
1591,30000000,37056,16.52083,33400000,105,Letters to Juliet,6.6,796
1593,30000000,76489,14.585968,54819301,92,The Three Stooges,4.9,140
1594,40000000,3933,43.571612,117195061,77,Corpse Bride,7.2,1894
1598,30000000,16871,45.083509,90810892,99,Drag Me to Hell,6.2,966
1599,25000000,293863,82.052056,65663276,112,The Age of Adaline,7.4,1990
1601,30000000,41233,25.060342,159291809,107,Step Up 3D,6.6,582
1603,30000000,1262,32.26789,53653224,113,Stranger Than Fiction,7.1,721
1604,30000000,4513,33.394082,75505973,113,30 Days of Night,6.2,767
1605,30000000,22970,73.987775,66486080,95,The Cabin in the Woods,6.5,2263
1606,30000000,7278,10.608998,84646831,84,Meet the Spartans,3.7,359
1610,30000000,50456,31.191975,63782078,111,Hanna,6.5,1263
1612,30000000,59861,20.355458,36160375,98,Larry Crowne,5.7,359
1613,30000000,133805,63.848541,82394288,100,Carrie,5.8,1463
1618,30000000,109421,48.237797,63372757,106,Side Effects,6.4,1323
1620,30000000,51162,19.143721,14460000,63,Winnie the Pooh,6.8,258
1628,30000000,48340,20.063165,108609310,108,Sanctum,5.8,339
1630,30000000,72207,27.71063,53909751,124,The Five-Year Engagement,5.7,457
1632,30000000,43539,34.421696,51148651,133,The Next Three Days,6.9,905
1633,30000000,9920,15.89534,31070211,87,Ultraviolet,4.8,458
1638,30000000,43347,20.236951,102820008,112,Love & Other Drugs,6.6,1233
1640,35000000,9701,12.779201,25224242,126,North Country,6.8,125
1642,26000000,37707,23.227877,33400000,104,Splice,5.5,671
1644,30000000,13150,10.703602,31148328,130,Pride and Glory,6.3,240
1646,30000000,17813,4.352422,15368897,96,Alex & Emma,5,68
1648,17000000,58151,18.27083,24922237,106,Fright Night,6,603
1653,30000000,76640,43.882857,33400000,107,The Last Stand,5.7,1266
1656,30000000,57089,10.694417,13521829,86,Hoodwinked Too! Hood VS. Evil,4.8,131
1657,30000000,1947,6.353971,18618284,108,An Unfinished Life,6.7,161
1659,30000000,46829,4.952735,8454301,134,Barney's Version,7.2,129
1660,30000000,146238,22.975918,62616646,91,Runner Runner,5.5,543
1661,30000000,9989,8.359599,18195610,108,Antitrust,5.8,153
1669,51059418.94,2008,3.866026,33400000,98,The Promise,5,29
1671,30000000,4512,35.53352,14711793,160,The Assassination of Jesse James by the Coward Robert Ford,7,776
1672,30000000,76349,4.065212,108348,125,1911,5,41
1675,30000000,45610,13.268936,2527904,129,Machine Gun Preacher,6.4,286
1680,30000000,367961,2.625594,33400000,85,Savva. Heart of the Warrior,6.4,7
1682,19000000,223702,66.242737,140752617,83,Sausage Party,5.6,2238
1690,29000000,323676,20.55509,78636257,91,The Boss,5.5,431
1695,28000000,812,92.982009,504050219,90,Aladdin,7.4,3416
1696,28000000,277216,61.76233,201634991,147,Straight Outta Compton,7.7,1355
1697,28000000,87,66.976776,333000000,118,Indiana Jones and the Temple of Doom,7.1,2781
1700,29000000,315664,19.237254,48902953,110,Florence Foster Jenkins,6.6,392
1704,28000000,318846,57.518472,133346506,130,The Big Short,7.3,2607
1705,51059418.94,26320,11.870161,33400000,120,Taking Woodstock,6.2,127
1707,28000000,924,44.529429,102356381,101,Dawn of the Dead,6.8,1016
1713,28000000,699,26.090746,195312802,127,For Your Eyes Only,6.3,490
1719,28000000,3638,15.794946,92601050,104,No Reservations,6.1,327
1721,28000000,62206,25.039383,40547440,83,30 Minutes or Less,5.6,531
1723,28000000,218778,22.14595,100654149,81,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,493
1724,28000000,4348,36.58383,121147947,135,Pride & Prejudice,7.7,1358
1725,28000000,78,94.056131,33139618,117,Blade Runner,7.9,3509
1735,28000000,10016,13.145205,14010832,98,Ghosts of Mars,4.8,296
1736,28000000,10317,12.921594,7002261,108,Our Brand Is Crisis,5.8,195
1737,28000000,58431,28.397048,16374328,108,Pride and Prejudice and Zombies,5.5,640
1743,27500000,700,25.633663,187500000,131,Octopussy,6.2,527
1744,30000000,4964,22.527211,219076518,129,Knocked Up,6.2,1214
1745,30000000,10024,24.09152,95714875,109,My Sister's Keeper,7.1,598
1748,15000000,1259,12.576381,49469904,92,Notes on a Scandal,6.9,235
1749,27500000,5125,12.741073,24748670,120,Rendition,6.2,205
1755,51059418.94,63574,5.753705,33400000,117,Joyful Noise,6.7,33
1756,27000000,245,28.227984,129000000,101,About a Boy,6.6,607
1760,30000000,61891,16.698316,15395087,130,Anonymous,6.3,288
1763,51059418.94,12783,18.591657,33400000,110,The Duchess,6.7,396
1764,25000000,13155,5.650125,11137801,109,Return to Oz,6.7,120
1766,27000000,28355,23.917982,29000000,109,Case 39,6.1,563
1773,27000000,16617,17.193659,21148829,106,Mindhunters,6.3,333
1774,25000000,8944,8.31653,6673422,104,What Just Happened,5.2,127
1777,26000000,14560,31.250383,183293131,91,Paul Blart: Mall Cop,5.2,788
1779,26000000,6957,38.473732,109449237,116,The 40 Year Old Virgin,6.2,1983
1783,27000000,10189,41.832392,101624843,111,Pineapple Express,6.6,1148
1791,26000000,22894,30.981604,67918658,100,Legion,5.2,629
1792,25000000,134374,31.893932,86175291,130,Pain & Gain,6.1,1573
1797,26000000,17047,10.925618,28818995,100,Agent Cody Banks 2: Destination London,5.2,144
1808,26000000,238615,66.097437,30523226,116,Self/less,6.3,1091
1810,30000000,615,38.171417,611899420,127,The Passion of the Christ,6.9,864
1813,33000000,13223,50.7453,269958228,116,Gran Torino,7.8,3086
1814,25100000,10523,10.445391,29506464,131,W.,6.1,143
1818,22000000,424,104.469351,321365567,195,Schindler's List,8.3,4329
1819,25000000,50014,42.191509,124272124,146,The Help,7.8,1910
1826,25000000,7191,46.942396,170764026,85,Cloverfield,6.4,2251
1835,25000000,41630,38.688822,147780440,107,No Strings Attached,6.1,1331
1841,60000000,1265,40.646102,137587063,96,Bridge to Terabithia,7,1113
1843,51059418.94,175555,5.377155,33400000,100,A Madea Christmas,7,35
1844,25000000,75174,48.552871,77278331,117,The Grey,6.4,1451
1847,25000000,769,63.654244,46836394,145,GoodFellas,8.2,3128
1853,25000000,77866,31.364901,63100000,109,Contraband,6.1,770
1861,25000000,12620,25.838073,70442940,97,The House Bunny,5.6,529
